question,ground_truth
"Nghiên cứu về năng lực công nghệ thông tin của nữ giảng viên tại Trường ĐH KHXH&NV, ĐHQG-HCM dựa trên hai khung lý thuyết nào để khảo sát?",Nghiên cứu dựa trên hai khung lý thuyết là Mô hình chấp nhận công nghệ (Technology Acceptance Model - TAM) và Kiến thức Công nghệ – Sư phạm – Nội dung (Technological Pedagogical Content Knowledge - TPACK).
"Trong nghiên cứu năng lực CNTT của nữ giảng viên, tổng số nữ giảng viên tại trường ở thời điểm khảo sát là bao nhiêu và số lượng phiếu trả lời hợp lệ thu thập được là bao nhiêu?","Tổng số nữ giảng viên tại trường ở thời điểm khảo sát là 323 người, và số lượng phiếu trả lời hợp lệ thu thập được là 103 phiếu (chiếm khoảng 31,9% quần thể)."
"Theo nghiên cứu về năng lực CNTT của nữ giảng viên, học vị của 103 đáp viên tham gia khảo sát phân bổ theo tỷ lệ thạc sĩ và tiến sĩ như thế nào?",Học vị của 103 giảng viên nữ tham gia khảo sát gồm có 57% thạc sĩ và 41% tiến sĩ.
Thang đo Likert 5 mức độ dùng để đo lường năng lực CNTT của nữ giảng viên trong nghiên cứu gồm bao nhiêu mục hỏi và tập trung vào các kỹ năng nào?,"Thang đo gồm 6 mục hỏi, tập trung vào các kỹ năng: sử dụng nền tảng LMS/Zoom, thiết kế học liệu số, quản lý lớp học trực tuyến, tương tác và phản hồi trực tuyến, chủ động cập nhật công nghệ."
Nghiên cứu trong nước của Đỗ Tùng và Hoàng Công Kiên được trích dẫn trong bài báo nghiên cứu về chủ đề gì và thực hiện tại trường đại học nào?,Nghiên cứu của Đỗ Tùng và Hoàng Công Kiên về chủ đề 'Áp dụng mô hình lớp học đảo ngược trong dạy học trực tuyến' và thực hiện tại trường Đại học Hùng Vương.
Nghiên cứu về giáo dục song ngữ tiếng Khmer - Việt tại Đồng bằng sông Cửu Long sử dụng mô hình giáo dục song ngữ cụ thể nào làm cơ sở lý luận chính cho bài viết?,Nghiên cứu sử dụng Mô hình giáo dục song ngữ 2 chiều (two-way bilingual education) làm cơ sở lý luận chính.
Nghiên cứu về giáo dục song ngữ Khmer - Việt tại Đồng bằng sông Cửu Long đã tiến hành phỏng vấn bao nhiêu cán bộ quản lý và giáo viên và thời điểm phỏng vấn là khi nào?,Nghiên cứu tiến hành phỏng vấn 04 cán bộ quản lý (02 cán bộ quản lý cấp Phòng Giáo dục và Đào tạo và 02 cán bộ quản lý tại các trường tiểu học) cùng với 06 giáo viên trực tiếp giảng dạy vào tháng 5 năm 2025.
"Theo nghiên cứu về giáo dục song ngữ Khmer - Việt, cộng đồng dân tộc Khmer ở Đồng bằng sông Cửu Long sống tập trung đông nhất ở tỉnh nào và tỉnh nào có tỷ lệ định cư đông nhất cả nước?","Cộng đồng dân tộc Khmer sống tập trung đông nhất ở 2 tỉnh là Sóc Trăng và Trà Vinh, trong đó tỉnh Sóc Trăng có tỷ lệ định cư đông nhất cả nước."
Nghiên cứu giáo dục song ngữ Khmer - Việt đề cập đến các cơ hội nào đối với việc phát triển học sinh tiểu học người dân tộc Khmer?,"Các cơ hội gồm: phát triển ngôn ngữ tiếng Khmer - Việt, bảo tồn, phát huy và phát triển các giá trị văn hóa dân tộc Khmer, và tăng cường kết nối đa văn hóa dân tộc Khmer."
Nghiên cứu 'Phản ứng của công chúng về tin tức tiêu cực trên báo chí (giai đoạn 2022-2023)' áp dụng mô hình lý thuyết nào để phân tích phản ứng của công chúng đối với tin tức tiêu cực?,"Nghiên cứu áp dụng Mô hình Quy trình song song mở rộng (The Extended Parallel Process Model - EPPM), còn gọi là Lý thuyết về nỗi sợ."
"Theo nghiên cứu về phản ứng của công chúng đối với tin tức tiêu cực, nhóm tác giả Lê Thị Thu và Nguyễn Phạm Phương Thảo (2024) định nghĩa 'tin tức tiêu cực' là gì?","Tin tức tiêu cực là thông tin xuất hiện trên phương tiện thông tin đại chúng, phản ánh về những vấn đề an sinh, đời sống, kinh tế, xã hội... có tác động xấu đến cảm xúc của người tiếp nhận bằng các nhận biết như có dấu hiệu công kích, chia rẽ, gây lo lắng, bất an, đe dọa nguy cơ an toàn, sự bình đẳng, dắt mũi, trục lợi... trong công chúng."
